,file_path,sentence,section,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
825,/Users/pm286/projects/semanticClimate/climate_justice/PMC8932097/sections/1_front/1_article-meta/13_abstract.xml,"We also control for Human Development Index, and drought measured by six-month Standardized Precipitation Index.",ABS,Human Development Index,ORG,20,43,,,,
832,/Users/pm286/projects/semanticClimate/climate_justice/PMC8503713/sections/1_front/1_article-meta/14_abstract.xml,"Peasants and fisherfolk around the world, supported by academic and NGO allies, have denounced the UN Food Systems Summit for its overt corporate capture instead of what should have been a democratic process with strong grassroots participation from social movements.",ABS,the UN Food Systems Summit,ORG,95,121,,,,
837,/Users/pm286/projects/semanticClimate/climate_justice/PMC8642191/sections/1_front/1_article-meta/16_abstract.xml,"While inter-country climate justice has long been on the agenda of United Nations climate negotiations, the intra-country and intergenerational aspects of climate justice have assumed new prominence in many countries in recent years, as the economic consequences of mitigation became felt and transnational activism highlighted youth concerns.",ABS,United Nations,ORG,67,81,,,,
839,/Users/pm286/projects/semanticClimate/climate_justice/PMC8642191/sections/1_front/1_article-meta/16_abstract.xml,This article examines the still emerging frameworks to finance climate justice in two of the jurisdictions most important to the global response to climate change: the European Union and the People’s Republic of China.,ABS,the European Union,ORG,164,182,,,,
840,/Users/pm286/projects/semanticClimate/climate_justice/PMC8642191/sections/1_front/1_article-meta/16_abstract.xml,The EU and China have in common that they are both on the front line of financial innovation to respond to climate change.,ABS,EU,ORG,4,6,,,,
842,/Users/pm286/projects/semanticClimate/climate_justice/PMC8642191/sections/1_front/1_article-meta/16_abstract.xml,"However, the EU and China are utilising climate financing mechanisms in the context of very different prevailing perspectives on climate justice.",ABS,EU,ORG,13,15,,,,
844,/Users/pm286/projects/semanticClimate/climate_justice/PMC8642191/sections/1_front/1_article-meta/16_abstract.xml,"The article also observes that while the EU incorporated climate justice considerations in its economic responses to the COVID-19 pandemic with a recovery package prioritising climate action, China did not take the opportunity to foster a ‘green recovery’.",ABS,EU,ORG,41,43,,,,
853,/Users/pm286/projects/semanticClimate/climate_justice/PMC7908488/sections/0_front/1_article-meta/17_abstract.xml,A similar pattern held for Latinx neighborhoods.,ABS,Latinx,ORG,27,33,,,,
860,/Users/pm286/projects/semanticClimate/climate_justice/PMC9237065/sections/1_front/1_article-meta/13_abstract.xml,"In implementing the European Green Deal to align with the Paris Agreement, the EU has raised its climate ambition and in 2022 is negotiating the distribution of increased mitigation effort among Member States.",ABS,EU,ORG,79,81,,,,
862,/Users/pm286/projects/semanticClimate/climate_justice/PMC9237065/sections/1_front/1_article-meta/13_abstract.xml,We contrast the 2021 European Commission proposal - an allocation based on a singular country attribute - with transparent and reproducible methods based on three ethical principles.,ABS,European Commission,ORG,21,40,,,,
863,/Users/pm286/projects/semanticClimate/climate_justice/PMC9237065/sections/1_front/1_article-meta/13_abstract.xml,We go beyond traditional effort-sharing literature and explore allocations representing an aggregated least regret compromise between different EU country perspectives on a fair allocation.,ABS,EU,ORG,144,146,,,,
865,/Users/pm286/projects/semanticClimate/climate_justice/PMC9237065/sections/1_front/1_article-meta/13_abstract.xml,"Whereas we apply our approach within the setting of the EU negotiations, the framework can easily be adapted to inform debates worldwide on sharing mitigation effort among subsidiary entities.",ABS,EU,ORG,56,58,,,,
877,/Users/pm286/projects/semanticClimate/climate_justice/PMC9449941/sections/1_front/1_article-meta/15_abstract.xml,"These decisions need to be assessed ex ante to ensure a good governance approach to energy policies, for which this paper introduces the Integrated Policy Package Assessment approach (IPPA).",ABS,"the Integrated Policy Package Assessment, IPPA","ORG, ORG","133, 184","173, 188",,,,
879,/Users/pm286/projects/semanticClimate/climate_justice/PMC9449941/sections/1_front/1_article-meta/15_abstract.xml,Results The results section illustrates the IPPA framework by applying it to urban passenger transport as an example case.,ABS,IPPA,ORG,44,48,,,,
885,/Users/pm286/projects/semanticClimate/climate_justice/PMC9449941/sections/1_front/1_article-meta/15_abstract.xml,"Conclusions The discussion and conclusion sections outline the main findings relating to content and process aspects, when applying the IPPA framework to a policy package in urban transport.",ABS,IPPA,ORG,136,140,,,,
886,/Users/pm286/projects/semanticClimate/climate_justice/PMC8382329/sections/1_front/1_article-meta/14_abstract.xml,"Beginning as an afterthought in the UN Framework Convention on Climate Change, adaptation as an agenda has come a long way since 1992.",ABS,the UN Framework Convention on Climate Change,ORG,32,77,,,,
912,/Users/pm286/projects/semanticClimate/climate_justice/PMC8517064/sections/1_front/1_article-meta/15_abstract.xml,Multilateral Development Banks (MDBs) are already playing an important role in financing transformative adaptation in the agri-food sector and are well-placed to address some of the existing shortcomings.,ABS,Multilateral Development Banks,ORG,0,30,,,,
915,/Users/pm286/projects/semanticClimate/climate_justice/PMC8517064/sections/1_front/1_article-meta/15_abstract.xml,"Appropriate finance requires use of mechanisms that address characteristics of the investment, including riskiness, delayed returns, high social values and new and unproven activities.",ABS,Appropriate,ORG,0,11,,,,
918,/Users/pm286/projects/semanticClimate/climate_justice/PMC7544477/sections/0_front/1_article-meta/16_abstract.xml,"Highlights • Land defense, civil disobedience and direct actions to protect the planet can oppose neocolonial violence.",ABS,Highlights • Land,ORG,0,17,,,,
920,/Users/pm286/projects/semanticClimate/climate_justice/PMC7544477/sections/0_front/1_article-meta/16_abstract.xml,"• Courthouse ethnography can reposition thinking on climate justice, space, power and ontologies of care.",ABS,Courthouse,ORG,2,12,,,,
927,/Users/pm286/projects/semanticClimate/climate_justice/PMC7544477/sections/0_front/1_article-meta/15_abstract.xml,Courtroom ethnography offers a unique vantage point for witnessing power at work and vast resources used by state actors to suppress issues fundamental to the United Nations Declaration on Rights of Indigenous Peoples and the Paris Climate Accord.,ABS,the United Nations Declaration on Rights of Indigenous Peoples,ORG,155,217,,,,
937,/Users/pm286/projects/semanticClimate/climate_justice/PMC8549412/sections/1_front/1_article-meta/14_abstract.xml,How did the regional counter-mobilization against the UN Food Systems Summit arise?,ABS,the UN Food Systems Summit,ORG,50,76,,,,
938,/Users/pm286/projects/semanticClimate/climate_justice/PMC8549412/sections/1_front/1_article-meta/14_abstract.xml,What were the positions of the Latin American governments and regional organizations on the Summit?,ABS,Summit,ORG,92,98,,,,
940,/Users/pm286/projects/semanticClimate/climate_justice/PMC8549412/sections/1_front/1_article-meta/14_abstract.xml,"These are some of the questions that are discussed in this thought-provoking conversation with Sofía Monsalve and Saúl Vicente, in which they share their insights and experiences on the challenges of the Latin American region and the outcomes of the regional counter-mobilization against the UN Food Systems Summit.",ABS,the UN Food Systems Summit,ORG,288,314,,,,
942,/Users/pm286/projects/semanticClimate/climate_justice/PMC9557810/sections/1_front/1_article-meta/14_abstract.xml,The paper explores this question through the experiences of eight grassroots schools of popular urbanism working under the umbrella of the Habitat International Coalition (HIC) in Latin America.,ABS,the Habitat International Coalition (HIC,ORG,135,175,,,,
948,/Users/pm286/projects/semanticClimate/climate_justice/PMC8786589/sections/1_front/1_article-meta/13_abstract.xml,"The European Union (EU) is adhering to decarbonization of its economy to tackle what is narrowly framed as ‘environmental issues’ of our socioecological and civilizational crises—including, but not limited to, climate change and biodiversity loss.",ABS,"The European Union, EU","ORG, ORG","0, 20","18, 22",,,,
950,/Users/pm286/projects/semanticClimate/climate_justice/PMC8786589/sections/1_front/1_article-meta/13_abstract.xml,"This paper applies theoretical ideas from decolonial environmental justice and degrowth, placed in the wider context of transformations, to analyse the EU bioeconomy policy within the global context, and to draw lessons and recommendations for just transformations in the EU bioeconomy policy.",ABS,"EU, EU","ORG, ORG","152, 272","154, 274",,,,
951,/Users/pm286/projects/semanticClimate/climate_justice/PMC8786589/sections/1_front/1_article-meta/13_abstract.xml,I identify five dominant logics and approaches in the EU bioeconomy that act as barriers for just transformations and propose alternative ones that can support such transformations.,ABS,EU,ORG,54,56,,,,
952,/Users/pm286/projects/semanticClimate/climate_justice/PMC8786589/sections/1_front/1_article-meta/13_abstract.xml,"Barriers and alternatives include (1) framing ‘nature’ as a resource and service provider for humans, who are seen as separate from nature, and the need to abandon human–nature duality; (2) dominance of economic green growth and technoscientific policy solutions, and the need to place planetary justice at the centre of tackling socioecological crises; (3) a limited approach to justice, and the need to act upon climate and epistemic justice, including self-determination and self-governing authority; (4) the EU’s ambition for global leadership and competitiveness in global bioeconomic markets and governance, and the need to redefine global governance towards partnerships based on the principles of solidarity, mutual respect, reconciliation and redistribution of power and wealth; (5) hegemonic politico-economic structures and actor coalitions in charge of the EU bioeconomy, and the need for decentralized bottom-up leadership coalitions that promote direct democracy, local autonomy and sovereignty beyond state.",ABS,"EU, EU","ORG, ORG","512, 869","514, 871",,,,
954,/Users/pm286/projects/semanticClimate/climate_justice/PMC8381134/sections/1_front/1_article-meta/14_abstract.xml,The IPCC reports represent a powerful discursive and institutional undertaking.,ABS,IPCC,ORG,4,8,,,,
955,/Users/pm286/projects/semanticClimate/climate_justice/PMC8381134/sections/1_front/1_article-meta/14_abstract.xml,"However, the IPCC has faced criticism for its different organizational and functional biases which include a geographical bias favoring experts from the global north, a gender bias in favor of men, a disciplinary bias in favor of the natural sciences over the social sciences and humanities, and finally, a cosmological bias favoring western science over indigenous knowledges.",ABS,IPCC,ORG,13,17,,,,
956,/Users/pm286/projects/semanticClimate/climate_justice/PMC8381134/sections/1_front/1_article-meta/14_abstract.xml,"In recent years, scholars have noted changes in the IPCC, pointing at the inclusion of social science/humanities perspectives and a growing engagement with plural worldviews.",ABS,IPCC,ORG,52,56,,,,
957,/Users/pm286/projects/semanticClimate/climate_justice/PMC8381134/sections/1_front/1_article-meta/14_abstract.xml,"Despite such forays, all aspects of knowledge production within the IPCC still echo the aspirations of nation states and quantitative models of attribution and detection.",ABS,IPCC,ORG,68,72,,,,
959,/Users/pm286/projects/semanticClimate/climate_justice/PMC8381134/sections/1_front/1_article-meta/14_abstract.xml,"In this essay, we focus on our personal experiences with local communities from the Himalayas and bring it in dialogue with our experiences with the IPCC knowledge production process.",ABS,"Himalayas, IPCC","ORG, ORG","84, 149","93, 153",,,,
960,/Users/pm286/projects/semanticClimate/climate_justice/PMC8381134/sections/1_front/1_article-meta/14_abstract.xml,"In doing so, we have two objectives: first, to highlight marginalized stories of climate-society relationships that challenge normative climate science/policy and, second, in light of these stories, suggest some salient considerations required to foreground justice and equity in futureengagements with the IPCC, which explores the production of democratic knowledge and how such knowledge can be wielded to achieve regional climate justice.",ABS,IPCC,ORG,307,311,,,,
965,/Users/pm286/projects/semanticClimate/climate_justice/PMC9285977/sections/1_front/1_article-meta/18_abstract.xml,"Abstract In this review, we take stock of the last decade of research on climate change governance in urban areas since the 2009 conference in Copenhagen.",ABS,Copenhagen,ORG,143,153,,,,
972,/Users/pm286/projects/semanticClimate/climate_justice/PMC9285977/sections/1_front/1_article-meta/18_abstract.xml,"This article is categorized under:  Policy and Governance > Governing Climate Change in Communities, Cities, and Regions",ABS,Cities,ORG,101,107,,,,
974,/Users/pm286/projects/semanticClimate/climate_justice/PMC9582307/sections/1_front/1_article-meta/6_aff.xml,"  Centre for Global Health, Faculty of Health and Wellbeing ,  UK Health Alliance on Climate Change ,  London ,  UK",AFF,"Centre for Global Health, Faculty of Health and Wellbeing",ORG,2,59,,,,
975,/Users/pm286/projects/semanticClimate/climate_justice/PMC9348123/sections/1_front/1_article-meta/7_aff.xml,"    1     Design, Construction, and Planning   University of Florida   Gainesville   Florida   USA",AFF,University of Florida,ORG,47,68,,,,
976,/Users/pm286/projects/semanticClimate/climate_justice/PMC7813412/sections/0_front/1_article-meta/7_aff.xml,"  No academic affiliation ,  Bristol ,  UK",AFF,Bristol,ORG,29,36,,,,
977,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/16_aff.xml,"10 Department of Social, Environmental and Economic Psychology, Faculty of Psychology, University of Koblenz Landau, 76829 Landau, Germany;  reese@uni-landau.de",AFF,"10 Department of Social, Environmental and Economic Psychology",ORG,0,62,,,,
978,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/17_aff.xml,"11 Center for Economic Education, Department of Economics, Ruhr University Bochum, 44801 Bochum, Germany",AFF,"11 Center for Economic Education, Department of Economics, Ruhr University Bochum","ORG, ORG, ORG","0, 34, 59","32, 57, 81",,,,
980,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/7_aff.xml,"1 Center for Preventive Medicine and Digital Health, Medical Faculty Mannheim, Heidelberg University, 68167 Mannheim, Germany",AFF,"1 Center for Preventive Medicine, Digital Health, Heidelberg University","ORG, ORG, ORG","0, 37, 79","32, 51, 100",,,,
981,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/14_aff.xml,"8 Center for Technology and Society, Technical University of Berlin, 10553 Berlin, Germany;  mineuber@uni-potsdam.de",AFF,"8 Center for Technology, Society, Technical University of Berlin","ORG, ORG","0, 28","23, 67",,,,
982,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/11_aff.xml,"5 Institut Futur, Freie Universität Berlin, 14195 Berlin, Germany;  grund@institutfutur.de",AFF,Freie Universität Berlin,ORG,18,42,,,,
986,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/8_aff.xml,"2 Division of Pediatric Epidemiology, Institute of Medical Biostatistics, Epidemiology and Informatics, University Medical Center of the Johannes Gutenberg, University of Mainz, 55131 Mainz, Germany",AFF,"Division of Pediatric Epidemiology, Institute of Medical Biostatistics, Epidemiology, Informatics, University Medical Center of the Johannes Gutenberg, University of Mainz","ORG, ORG, ORG, ORG, ORG, ORG","2, 38, 74, 91, 104, 157","36, 72, 86, 102, 155, 176",,,,
987,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/12_aff.xml,"6 Department of Education and Psychology, Freie Universität Berlin, 14195 Berlin, Germany;  jan.keller@fu-berlin.de  (J.K.);  heinzel@zedat.fu-berlin.de  (S.H.)",AFF,6 Department of Education and Psychology,ORG,0,40,,,,
988,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/13_aff.xml,"7 Department of Psychiatry and Psychotherapy, Campus Charité Mitte, Charité—Universitätsmedizin Berlin, 10117 Berlin, Germany;  ashley.lau@charite.de  (A.G.L.",AFF,"7 Department of Psychiatry, Charité, A.G.L.","ORG, ORG, ORG","0, 68, 152","26, 75, 158",,,,
990,/Users/pm286/projects/semanticClimate/climate_justice/PMC9265347/sections/1_front/1_article-meta/9_aff.xml,"3 Department of Management, EBS University of Business and Law, 65375 Oestrich-Winkel, Germany;  myriam.bechtoldt@ebs.edu",AFF,"3 Department of Management, EBS University of Business and Law","ORG, ORG","0, 28","26, 62",,,,
992,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/10_aff.xml,"  2   School of Public Health Sciences   University of Waterloo   Waterloo, ON   Canada",AFF,"School of Public Health Sciences   , ON   ","ORG, ORG","6, 76","41, 81",,,,
994,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/13_aff.xml,"  5   Johnson Shoyama Graduate School of Public Policy   University of Regina   Regina, SK   Canada",AFF,"Johnson Shoyama Graduate School of Public Policy   , University of Regina","ORG, ORG","6, 57","57, 77",,,,
995,/Users/pm286/projects/semanticClimate/climate_justice/PMC8482180/sections/1_front/1_article-meta/9_aff.xml,"  1   Johnson Shoyama Graduate School of Public Policy   University of Saskatchewan   Saskatoon, SK   Canada",AFF,"Johnson Shoyama Graduate School of Public Policy   , University of Saskatchewan","ORG, ORG","6, 57","57, 83",,,,
996,/Users/pm286/projects/semanticClimate/climate_justice/PMC8022441/sections/0_front/1_article-meta/5_aff.xml,"Political Science Department, Vanderbilt University ,  Nashville, TN ,  United States",AFF,"Political Science Department, Vanderbilt University, TN","ORG, ORG, ORG","0, 30, 66","28, 51, 68",,,,
998,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/7_aff.xml,"Lesseps 1, 08023 Barcelona, Spain",AFF,Lesseps,ORG,0,7,,,,
999,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/14_aff.xml,"8 Joint Johns Hopkins University-Pompeu Fabra University Public Policy Center, Universitat Pompeu Fabra, Ramon Trias Fargas, 25-27, 08005 Barcelona, Spain",AFF,"Johns Hopkins University-Pompeu Fabra University Public Policy Center, Universitat Pompeu Fabra","ORG, ORG","8, 79","77, 103",,,,
1000,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/11_aff.xml,"5 Department of Experimental and Health Sciences, Universitat Pompeu Fabra, Doctor Aiguader 88, 08003 Barcelona, Spain",AFF,"5 Department of Experimental and, Health Sciences, Universitat Pompeu Fabra","ORG, ORG, ORG","0, 33, 50","32, 48, 74",,,,
1001,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/10_aff.xml,"4 Department of Preventive Medicine and Epidemiology, Hospital Clinic, Universitat de Barcelona, Villarroel 170, 08036 Barcelona, Spain",AFF,"4 Department of Preventive Medicine and Epidemiology, Hospital Clinic",ORG,0,69,,,,
1005,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/13_aff.xml,"7 Johns Hopkins Bloomberg School of Public Health, Department of Health Policy and Management, 615 N. Wolfe Street, Baltimore, MD 21205, USA",AFF,"Johns Hopkins Bloomberg School of Public Health, Department of Health Policy and Management",ORG,2,93,,,,
1006,/Users/pm286/projects/semanticClimate/climate_justice/PMC9566374/sections/1_front/1_article-meta/9_aff.xml,"3 Centro de Investigación Biomédica en Red de Epidemiología y Salud Pública (CIBERESP), Av.",AFF,Salud Pública,ORG,62,75,,,,
1008,/Users/pm286/projects/semanticClimate/climate_justice/PMC8355364/sections/0_front/1_article-meta/5_aff.xml,"1 Department of Psychology, University of Tuebingen ,  Tuebingen ,  Germany",AFF,"1 Department of Psychology, University of Tuebingen","ORG, ORG","0, 28","26, 51",,,,
1009,/Users/pm286/projects/semanticClimate/climate_justice/PMC8355364/sections/0_front/1_article-meta/6_aff.xml,"2 Leibniz-Institut fuer Wissensmedien/Knowledge Media Research Center ,  Tuebingen ,  Germany",AFF,Leibniz-Institut,ORG,2,18,,,,
1010,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/5_aff.xml,"1 Department of Sustainability Science and Applied Geography, Institute of Geography and Geology, University of Greifswald ,  Greifswald ,  Germany",AFF,"1 Department of Sustainability Science and Applied Geography, Institute of Geography and Geology,, University of Greifswald","ORG, ORG, ORG","0, 62, 98","60, 97, 122",,,,
1011,/Users/pm286/projects/semanticClimate/climate_justice/PMC9269987/sections/1_front/1_article-meta/6_aff.xml,"2 Department of Personality Psychology and Psychological Assessment, Institute of Psychology, University of Greifswald ,  Greifswald ,  Germany",AFF,"2 Department of Personality Psychology and Psychological Assessment, Institute of Psychology, University of Greifswald","ORG, ORG","0, 94","92, 118",,,,
1012,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/20_aff.xml,"15 Mali Médical, ML",AFF,ML,ORG,17,19,,,,
1014,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/17_aff.xml,"12 Ghana Medical Journal, GH",AFF,"Ghana Medical Journal, GH","ORG, ORG","3, 26","24, 28",,,,
1015,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/21_aff.xml,"16 Journal de la Faculté de Médecine d’Oran, DZ",AFF,DZ,ORG,45,47,,,,
1017,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/15_aff.xml,"10 London School of Medicine and Tropical Hygiene, GB",AFF,London School of Medicine and Tropical Hygiene,ORG,3,49,,,,
1018,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/23_aff.xml,"18 Evidence-Based Nursing Research, EG",AFF,"Evidence-Based Nursing Research, EG","ORG, ORG","3, 36","34, 38",,,,
1019,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/22_aff.xml,"17 African Health Sciences, UG",AFF,17 African Health Sciences,ORG,0,26,,,,
1020,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/7_aff.xml,"2 East African Medical Journal, KE",AFF,"East African Medical Journal, KE","ORG, ORG","2, 32","30, 34",,,,
1021,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/14_aff.xml,"9 African Journal of Primary Health Care & Family Medicine, ZA",AFF,"9 African Journal of Primary Health Care & Family Medicine, ZA",ORG,0,62,,,,
1023,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/18_aff.xml,"13 African Journal of Reproductive Health, NG",AFF,"13 African Journal of Reproductive Health, NG","ORG, ORG","0, 43","41, 45",,,,
1024,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/19_aff.xml,"14 Eastern Mediterranean Health Journal, IR",AFF,"Eastern Mediterranean Health Journal, IR","ORG, ORG","3, 41","39, 43",,,,
1025,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/10_aff.xml,"5 Ethiopian Journal of Health Sciences, ET",AFF,5 Ethiopian Journal of Health Sciences,ORG,0,38,,,,
1026,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/24_aff.xml,"19 La Tunisie Médicale, TN",AFF,TN,ORG,24,26,,,,
1027,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/8_aff.xml,"3 West African Journal of Medicine, NG",AFF,"West African Journal of Medicine, NG","ORG, ORG","2, 36","34, 38",,,,
1028,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/12_aff.xml,"7 Annals of African Surgery, KE",AFF,KE,ORG,29,31,,,,
1029,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/13_aff.xml,"8 University of Exeter, GB",AFF,8 University of Exeter,ORG,0,22,,,,
1030,/Users/pm286/projects/semanticClimate/climate_justice/PMC9615609/sections/1_front/1_article-meta/9_aff.xml,"4 Sierra Leone Journal of Biomedical Research, SL",AFF,Sierra Leone Journal of Biomedical Research,ORG,2,45,,,,
1031,/Users/pm286/projects/semanticClimate/climate_justice/PMC9685686/sections/1_front/1_article-meta/7_aff.xml,"  Centre for Global Health, Faculty of Health and Wellbeing ,  UK Health Alliance on Climate Change ,  London ,  UK",AFF,"Centre for Global Health, Faculty of Health and Wellbeing",ORG,2,59,,,,
1032,/Users/pm286/projects/semanticClimate/climate_justice/PMC8773912/sections/1_front/1_article-meta/7_aff.xml,"Canadian College of Naturopathic Medicine, Toronto Campus, Toronto, ON M2K 1E2, Canada;  lsolomonian@ccnm.edu ; Tel.",AFF,"Canadian College of, Naturopathic Medicine, Toronto Campus","ORG, ORG, ORG","0, 20, 43","19, 41, 57",,,,
1034,/Users/pm286/projects/semanticClimate/climate_justice/PMC9685688/sections/1_front/1_article-meta/7_aff.xml,"  Centre for Global Health, Faculty of Health and Wellbeing ,  UK Health Alliance on Climate Change ,  London ,  UK",AFF,"Centre for Global Health, Faculty of Health and Wellbeing",ORG,2,59,,,,
1035,/Users/pm286/projects/semanticClimate/climate_justice/PMC7996636/sections/0_front/1_article-meta/7_aff.xml,"1   Alliance for Health Policy and Systems Research, World Health Organization , Avenue Appia 20, 1211 Geneva,  Switzerland",AFF,"Alliance for Health Policy and Systems Research, World Health Organization","ORG, ORG","4, 53","51, 78",,,,
1036,/Users/pm286/projects/semanticClimate/climate_justice/PMC7996636/sections/0_front/1_article-meta/8_aff.xml,"2   Environment, Climate Change and Health Department, World Health Organization , Avenue Appia 20, 1211 Geneva,  Switzerland",AFF,"Health Department, World Health Organization","ORG, ORG","36, 55","53, 80",,,,
1037,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/20_aff.xml,    14     School of Arts and Humanities   Edith Cowan University   Perth   Western Australia   Australia,AFF,"School of Arts, Edith Cowan University","ORG, ORG","11, 43","25, 65",,,,
1038,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/16_aff.xml,    10     Youth Affairs Council of Western Australia   Perth   Western Australia   Australia,AFF,Youth Affairs Council,ORG,11,32,,,,
1039,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/17_aff.xml,    11     Research School of Psychology   Australian National University   Canberra   Australian Capital Territory   Australia,AFF,"Australian National University   Canberra, Australian Capital Territory","ORG, ORG","43, 87","84, 115",,,,
1041,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/7_aff.xml,"    1     Ce ntre for People, Place and Planet   Ed ith Cowan University   Bunbury   Western Australia   Australia",AFF,"People, Place and Planet   Ed\u200a, Cowan University, Bunbury","ORG, ORG, ORG","22, 56, 75","52, 72, 82",,,,
1044,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/18_aff.xml,    12     School of Arts and Humanities   Edith Cowan University   Bunbury   Western Australia   Australia,AFF,"School of Arts, Edith Cowan University, Bunbury","ORG, ORG, ORG","11, 43, 68","25, 65, 75",,,,
1045,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/19_aff.xml,"    13     Cen tre for People, Place and Planet   E dith Cowan University   Perth   Western Australia   Australia",AFF,Cowan University,ORG,57,73,,,,
1047,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/8_aff.xml,    2     Department of Social Work   Monash University   Caulfield East   Victoria   Australia,AFF,"Department of Social Work, Monash University","ORG, ORG","10, 38","35, 55",,,,
1049,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/13_aff.xml,    7     WA Youth Climate Activist   Bunbury   Western Australia   Australia,AFF,Bunbury,ORG,38,45,,,,
1050,/Users/pm286/projects/semanticClimate/climate_justice/PMC9299447/sections/1_front/1_article-meta/9_aff.xml,    3     Telethon Kids Institute   The University of Western Australia   Perth   Western Australia   Australia,AFF,"Telethon Kids Institute, The University of Western Australia","ORG, ORG","10, 36","33, 71",,,,
1051,/Users/pm286/projects/semanticClimate/climate_justice/PMC9691816/sections/1_front/1_article-meta/7_aff.xml,"  Centre for Global Health, Faculty of Health and Wellbeing ,  UK Health Alliance on Climate Change ,  London ,  UK",AFF,"Centre for Global Health, Faculty of Health and Wellbeing",ORG,2,59,,,,
1052,/Users/pm286/projects/semanticClimate/climate_justice/PMC8499621/sections/1_front/1_article-meta/7_aff.xml,"1 South London and the Maudsley NHS Trust ,  UK",AFF,the Maudsley NHS Trust,ORG,19,41,,,,
1053,/Users/pm286/projects/semanticClimate/climate_justice/PMC8499621/sections/1_front/1_article-meta/8_aff.xml,"2 University College London ,  UK",AFF,2 University College,ORG,0,20,,,,
1054,/Users/pm286/projects/semanticClimate/climate_justice/PMC8499621/sections/1_front/1_article-meta/9_aff.xml,"3 Kings College London ,  UK",AFF,"""3 Kings""",ORG,0,8,,,,
1057,/Users/pm286/projects/semanticClimate/climate_justice/PMC9585623/sections/1_front/1_article-meta/16_aff.xml,    11     Ghana Medical Journal,AFF,Ghana Medical Journal,ORG,11,32,,,,
1058,/Users/pm286/projects/semanticClimate/climate_justice/PMC9585623/sections/1_front/1_article-meta/17_aff.xml,    12     African Journal of Reproductive Health,AFF,African Journal of Reproductive Health,ORG,11,49,,,,
