,0,1,2,3,4
91,2.1.2.l,"2.1.2.lAcross sectors and regions, the most vulnerable people and systems have been disproportionately affected by the impacts of climate change (high confidence). LDCs and SIDS who have much lower per capita emissions (1.7 tCO2-eq, 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq) excluding CO2-LULUCF, also have high vulnerability to climatic hazards, with global hotspots of high human vulnerability observed in West-, Central- and East Africa, South Asia, Central and South America, SIDS and the Arctic (high confidence). Regions and people with considerable development constraints have high vulnerability to climatic hazards (high confidence). Vulnerability is higher in locations with poverty, governance challenges and limited access to basic services and resources, violent conflict and high levels of climate-sensitive livelihoods (e.g., smallholder farmers, pastoralists, fishing communities) (high confidence). Vulnerability at different spatial levels is exacerbated by inequity and marginalisation linked to gender, ethnicity, low income or combinations thereof (high confidence), especially for many Indigenous Peoples and local communities (high confidence). Approximately 3.3 to 3.6 billion people live in contexts that are highly vulnerable to climate change (high confidence). Between 2010 and 2020, human mortality from floods, droughts and storms was 15 times higher in highly vulnerable regions, compared to regions with very low vulnerability (high confidence). In the Arctic and in some high mountain regions, negative impacts of cryosphere change have been especially felt among Indigenous Peoples (high confidence). Human and ecosystem vulnerability are interdependent (high confidence). Vulnerability of ecosystems and people to climate change differs substantially among and within regions (very high confidence), driven by patterns of intersecting socio-economic development, unsustainable ocean and land use, inequity, marginalisation, historical and ongoing patterns of inequity such as colonialism, and governance24(high confidence). {WGII SPM B.1, WGII SPM B.2, WGII SPM B.2.4; WGIII SPM B.3.1; SROCC SPM A.7.1, SROCC SPM A.7.2} ", WGIII SPM B.3.1,,
92,2.1.2.l,"2.1.2.lAcross sectors and regions, the most vulnerable people and systems have been disproportionately affected by the impacts of climate change (high confidence). LDCs and SIDS who have much lower per capita emissions (1.7 tCO2-eq, 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq) excluding CO2-LULUCF, also have high vulnerability to climatic hazards, with global hotspots of high human vulnerability observed in West-, Central- and East Africa, South Asia, Central and South America, SIDS and the Arctic (high confidence). Regions and people with considerable development constraints have high vulnerability to climatic hazards (high confidence). Vulnerability is higher in locations with poverty, governance challenges and limited access to basic services and resources, violent conflict and high levels of climate-sensitive livelihoods (e.g., smallholder farmers, pastoralists, fishing communities) (high confidence). Vulnerability at different spatial levels is exacerbated by inequity and marginalisation linked to gender, ethnicity, low income or combinations thereof (high confidence), especially for many Indigenous Peoples and local communities (high confidence). Approximately 3.3 to 3.6 billion people live in contexts that are highly vulnerable to climate change (high confidence). Between 2010 and 2020, human mortality from floods, droughts and storms was 15 times higher in highly vulnerable regions, compared to regions with very low vulnerability (high confidence). In the Arctic and in some high mountain regions, negative impacts of cryosphere change have been especially felt among Indigenous Peoples (high confidence). Human and ecosystem vulnerability are interdependent (high confidence). Vulnerability of ecosystems and people to climate change differs substantially among and within regions (very high confidence), driven by patterns of intersecting socio-economic development, unsustainable ocean and land use, inequity, marginalisation, historical and ongoing patterns of inequity such as colonialism, and governance24(high confidence). {WGII SPM B.1, WGII SPM B.2, WGII SPM B.2.4; WGIII SPM B.3.1; SROCC SPM A.7.1, SROCC SPM A.7.2} ", SROCC SPM A.7.1,,
93,2.1.2.l,"2.1.2.lAcross sectors and regions, the most vulnerable people and systems have been disproportionately affected by the impacts of climate change (high confidence). LDCs and SIDS who have much lower per capita emissions (1.7 tCO2-eq, 4.6 tCO2-eq, respectively) than the global average (6.9 tCO2-eq) excluding CO2-LULUCF, also have high vulnerability to climatic hazards, with global hotspots of high human vulnerability observed in West-, Central- and East Africa, South Asia, Central and South America, SIDS and the Arctic (high confidence). Regions and people with considerable development constraints have high vulnerability to climatic hazards (high confidence). Vulnerability is higher in locations with poverty, governance challenges and limited access to basic services and resources, violent conflict and high levels of climate-sensitive livelihoods (e.g., smallholder farmers, pastoralists, fishing communities) (high confidence). Vulnerability at different spatial levels is exacerbated by inequity and marginalisation linked to gender, ethnicity, low income or combinations thereof (high confidence), especially for many Indigenous Peoples and local communities (high confidence). Approximately 3.3 to 3.6 billion people live in contexts that are highly vulnerable to climate change (high confidence). Between 2010 and 2020, human mortality from floods, droughts and storms was 15 times higher in highly vulnerable regions, compared to regions with very low vulnerability (high confidence). In the Arctic and in some high mountain regions, negative impacts of cryosphere change have been especially felt among Indigenous Peoples (high confidence). Human and ecosystem vulnerability are interdependent (high confidence). Vulnerability of ecosystems and people to climate change differs substantially among and within regions (very high confidence), driven by patterns of intersecting socio-economic development, unsustainable ocean and land use, inequity, marginalisation, historical and ongoing patterns of inequity such as colonialism, and governance24(high confidence). {WGII SPM B.1, WGII SPM B.2, WGII SPM B.2.4; WGIII SPM B.3.1; SROCC SPM A.7.1, SROCC SPM A.7.2} ", SROCC SPM A.7.2,,
94,2.2.1.a,"2.2.1.aThe United Nations Framework Convention on Climate Change (UNFCCC), Kyoto Protocol, and Paris Agreement are supporting rising levels of national ambition and encouraging the development and implementation of climate policies at multiple levels of governance (high confidence). The Kyoto Protocol led to reduced emissions in some countries and was instrumental in building national and international capacity for GHG reporting, accounting and emissions markets (high confidence). The Paris Agreement, adopted under the UNFCCC, with near universal participation, has led to policy development and target-setting at national and sub-national levels, particularly in relation to mitigation but also for adaptation, as well as enhanced transparency of climate action and support (medium confidence). Nationally Determined Contributions (NDCs), required under the Paris Agreement, have required countries to articulate their priorities and ambition with respect to climate action. {WGII 17.4, WGIII SPM B.5.1, WGIII SPM E.6, WGII TS D.1.1} ",WGII 17.4,,
95,2.2.1.a,"2.2.1.aThe United Nations Framework Convention on Climate Change (UNFCCC), Kyoto Protocol, and Paris Agreement are supporting rising levels of national ambition and encouraging the development and implementation of climate policies at multiple levels of governance (high confidence). The Kyoto Protocol led to reduced emissions in some countries and was instrumental in building national and international capacity for GHG reporting, accounting and emissions markets (high confidence). The Paris Agreement, adopted under the UNFCCC, with near universal participation, has led to policy development and target-setting at national and sub-national levels, particularly in relation to mitigation but also for adaptation, as well as enhanced transparency of climate action and support (medium confidence). Nationally Determined Contributions (NDCs), required under the Paris Agreement, have required countries to articulate their priorities and ambition with respect to climate action. {WGII 17.4, WGIII SPM B.5.1, WGIII SPM E.6, WGII TS D.1.1} ", WGIII SPM B.5.1,,
96,2.2.1.a,"2.2.1.aThe United Nations Framework Convention on Climate Change (UNFCCC), Kyoto Protocol, and Paris Agreement are supporting rising levels of national ambition and encouraging the development and implementation of climate policies at multiple levels of governance (high confidence). The Kyoto Protocol led to reduced emissions in some countries and was instrumental in building national and international capacity for GHG reporting, accounting and emissions markets (high confidence). The Paris Agreement, adopted under the UNFCCC, with near universal participation, has led to policy development and target-setting at national and sub-national levels, particularly in relation to mitigation but also for adaptation, as well as enhanced transparency of climate action and support (medium confidence). Nationally Determined Contributions (NDCs), required under the Paris Agreement, have required countries to articulate their priorities and ambition with respect to climate action. {WGII 17.4, WGIII SPM B.5.1, WGIII SPM E.6, WGII TS D.1.1} ", WGIII SPM E.6,,
97,2.2.1.a,"2.2.1.aThe United Nations Framework Convention on Climate Change (UNFCCC), Kyoto Protocol, and Paris Agreement are supporting rising levels of national ambition and encouraging the development and implementation of climate policies at multiple levels of governance (high confidence). The Kyoto Protocol led to reduced emissions in some countries and was instrumental in building national and international capacity for GHG reporting, accounting and emissions markets (high confidence). The Paris Agreement, adopted under the UNFCCC, with near universal participation, has led to policy development and target-setting at national and sub-national levels, particularly in relation to mitigation but also for adaptation, as well as enhanced transparency of climate action and support (medium confidence). Nationally Determined Contributions (NDCs), required under the Paris Agreement, have required countries to articulate their priorities and ambition with respect to climate action. {WGII 17.4, WGIII SPM B.5.1, WGIII SPM E.6, WGII TS D.1.1} ", WGII TS D.1.1,,
98,2.2.1.b,"2.2.1.bLoss & Damage25was formally recognized in 2013 through establishment of the Warsaw International Mechanism on Loss and Damage (WIM), and in 2015, Article 8 of the Paris Agreement provided a legal basis for the WIM. There is improved understanding of both economic and non-economic losses and damages, which is informing international climate policy and which has highlighted that losses and damages are not comprehensively addressed by current financial, governance and institutional arrangements, particularly in vulnerable developing countries (high confidence). {WGII SPM C.3.5, WGII Cross-Chapter Box LOSS} ",WGII SPM C.3.5,,
99,2.2.1.b,"2.2.1.bLoss & Damage25was formally recognized in 2013 through establishment of the Warsaw International Mechanism on Loss and Damage (WIM), and in 2015, Article 8 of the Paris Agreement provided a legal basis for the WIM. There is improved understanding of both economic and non-economic losses and damages, which is informing international climate policy and which has highlighted that losses and damages are not comprehensively addressed by current financial, governance and institutional arrangements, particularly in vulnerable developing countries (high confidence). {WGII SPM C.3.5, WGII Cross-Chapter Box LOSS} ", WGII Cross-Chapter Box LOSS,,
100,2.2.1.c,"2.2.1.cOther recent global agreements that influence responses to climate change include the Sendai Framework for Disaster Risk Reduction (2015–2030), the finance-oriented Addis Ababa Action Agenda (2015) and the New Urban Agenda (2016), and the Kigali Amendment to the Montreal Protocol on Substances that Deplete the Ozone Layer (2016), among others. In addition, the 2030 Agenda for Sustainable Development, adopted in 2015 by UN member states, sets out 17 Sustainable Development Goals (SDGs) and seeks to align efforts globally to prioritise ending extreme poverty, protect the planet and promote more peaceful, prosperous and inclusive societies. If achieved, these agreements would reduce climate change, and the impacts on health, wellbeing, migration, and conflict, among others (very high confidence). {WGII TS.A.1, WGII 7 ES} ",WGII TS.A.1,,
101,2.2.1.c,"2.2.1.cOther recent global agreements that influence responses to climate change include the Sendai Framework for Disaster Risk Reduction (2015–2030), the finance-oriented Addis Ababa Action Agenda (2015) and the New Urban Agenda (2016), and the Kigali Amendment to the Montreal Protocol on Substances that Deplete the Ozone Layer (2016), among others. In addition, the 2030 Agenda for Sustainable Development, adopted in 2015 by UN member states, sets out 17 Sustainable Development Goals (SDGs) and seeks to align efforts globally to prioritise ending extreme poverty, protect the planet and promote more peaceful, prosperous and inclusive societies. If achieved, these agreements would reduce climate change, and the impacts on health, wellbeing, migration, and conflict, among others (very high confidence). {WGII TS.A.1, WGII 7 ES} ", WGII 7 ES,,
102,2.2.2.a,"2.2.2.aThere has been a consistent expansion of policies and laws addressing mitigation since AR5 (high confidence). Climate governance supports mitigation by providing frameworks through which diverse actors interact, and a basis for policy development and implementation (medium confidence). Many regulatory and economic instruments have already been deployed successfully (high confidence). By 2020, laws primarily focussed on reducing GHG emissions existed in 56 countries covering 53% of global emissions (medium confidence). The application of diverse policy instruments for mitigation at the national and sub-national levels has grown consistently across a range of sectors (high confidence). Policy coverage is uneven across sectors and remains limited for emissions from agriculture, and from industrial materials and feedstocks (high confidence). {WGIII SPM B.5, WGIII SPM B.5.2, WGIII SPM E.3, WGIII SPM E.4} ",WGIII SPM B.5,,
103,2.2.2.a,"2.2.2.aThere has been a consistent expansion of policies and laws addressing mitigation since AR5 (high confidence). Climate governance supports mitigation by providing frameworks through which diverse actors interact, and a basis for policy development and implementation (medium confidence). Many regulatory and economic instruments have already been deployed successfully (high confidence). By 2020, laws primarily focussed on reducing GHG emissions existed in 56 countries covering 53% of global emissions (medium confidence). The application of diverse policy instruments for mitigation at the national and sub-national levels has grown consistently across a range of sectors (high confidence). Policy coverage is uneven across sectors and remains limited for emissions from agriculture, and from industrial materials and feedstocks (high confidence). {WGIII SPM B.5, WGIII SPM B.5.2, WGIII SPM E.3, WGIII SPM E.4} ", WGIII SPM B.5.2,,
104,2.2.2.a,"2.2.2.aThere has been a consistent expansion of policies and laws addressing mitigation since AR5 (high confidence). Climate governance supports mitigation by providing frameworks through which diverse actors interact, and a basis for policy development and implementation (medium confidence). Many regulatory and economic instruments have already been deployed successfully (high confidence). By 2020, laws primarily focussed on reducing GHG emissions existed in 56 countries covering 53% of global emissions (medium confidence). The application of diverse policy instruments for mitigation at the national and sub-national levels has grown consistently across a range of sectors (high confidence). Policy coverage is uneven across sectors and remains limited for emissions from agriculture, and from industrial materials and feedstocks (high confidence). {WGIII SPM B.5, WGIII SPM B.5.2, WGIII SPM E.3, WGIII SPM E.4} ", WGIII SPM E.3,,
105,2.2.2.a,"2.2.2.aThere has been a consistent expansion of policies and laws addressing mitigation since AR5 (high confidence). Climate governance supports mitigation by providing frameworks through which diverse actors interact, and a basis for policy development and implementation (medium confidence). Many regulatory and economic instruments have already been deployed successfully (high confidence). By 2020, laws primarily focussed on reducing GHG emissions existed in 56 countries covering 53% of global emissions (medium confidence). The application of diverse policy instruments for mitigation at the national and sub-national levels has grown consistently across a range of sectors (high confidence). Policy coverage is uneven across sectors and remains limited for emissions from agriculture, and from industrial materials and feedstocks (high confidence). {WGIII SPM B.5, WGIII SPM B.5.2, WGIII SPM E.3, WGIII SPM E.4} ", WGIII SPM E.4,,
106,2.2.2.b,"2.2.2.bPractical experience has informed economic instrument design and helped to improve predictability, environmental effectiveness, economic efficiency, alignment with distributional goals, and social acceptance (high confidence). Low-emission technological innovation is strengthened through the combination of technology-push policies, together with policies that create incentives for behaviour change and market opportunities (high confidence) (Section 4.8.3). Comprehensive and consistent policy packages have been found to be more effective than single policies (high confidence). Combining mitigation with policies to shift development pathways, policies that induce lifestyle or behaviour changes, for example, measures promoting walkable urban areas combined with electrification and renewable energy can create health co-benefits from cleaner air and enhanced active mobility (high confidence). Climate governance enables mitigation by providing an overall direction, setting targets, mainstreaming climate action across policy domains and levels, based on national circumstances and in the context of international cooperation. Effective governance   enhances regulatory certainty, creating specialised organisations and creating the context to mobilise finance (medium confidence). These functions can be promoted by climate-relevant laws, which are growing in number, or climate strategies, among others, based on national and sub-national context (medium confidence). Effective and equitable climate governance builds on engagement with civil society actors, political actors, businesses, youth, labour, media, Indigenous Peoples and local communities (medium confidence). {WGIII SPM E.2.2, WGIII SPM E.3, WGIII SPM E.3.1, WGIII SPM E.4.2, WGIII SPM E.4.3, WGIII SPM E.4.4} ",WGIII SPM E.2.2,,
107,2.2.2.b,"2.2.2.bPractical experience has informed economic instrument design and helped to improve predictability, environmental effectiveness, economic efficiency, alignment with distributional goals, and social acceptance (high confidence). Low-emission technological innovation is strengthened through the combination of technology-push policies, together with policies that create incentives for behaviour change and market opportunities (high confidence) (Section 4.8.3). Comprehensive and consistent policy packages have been found to be more effective than single policies (high confidence). Combining mitigation with policies to shift development pathways, policies that induce lifestyle or behaviour changes, for example, measures promoting walkable urban areas combined with electrification and renewable energy can create health co-benefits from cleaner air and enhanced active mobility (high confidence). Climate governance enables mitigation by providing an overall direction, setting targets, mainstreaming climate action across policy domains and levels, based on national circumstances and in the context of international cooperation. Effective governance   enhances regulatory certainty, creating specialised organisations and creating the context to mobilise finance (medium confidence). These functions can be promoted by climate-relevant laws, which are growing in number, or climate strategies, among others, based on national and sub-national context (medium confidence). Effective and equitable climate governance builds on engagement with civil society actors, political actors, businesses, youth, labour, media, Indigenous Peoples and local communities (medium confidence). {WGIII SPM E.2.2, WGIII SPM E.3, WGIII SPM E.3.1, WGIII SPM E.4.2, WGIII SPM E.4.3, WGIII SPM E.4.4} ", WGIII SPM E.3,,
108,2.2.2.b,"2.2.2.bPractical experience has informed economic instrument design and helped to improve predictability, environmental effectiveness, economic efficiency, alignment with distributional goals, and social acceptance (high confidence). Low-emission technological innovation is strengthened through the combination of technology-push policies, together with policies that create incentives for behaviour change and market opportunities (high confidence) (Section 4.8.3). Comprehensive and consistent policy packages have been found to be more effective than single policies (high confidence). Combining mitigation with policies to shift development pathways, policies that induce lifestyle or behaviour changes, for example, measures promoting walkable urban areas combined with electrification and renewable energy can create health co-benefits from cleaner air and enhanced active mobility (high confidence). Climate governance enables mitigation by providing an overall direction, setting targets, mainstreaming climate action across policy domains and levels, based on national circumstances and in the context of international cooperation. Effective governance   enhances regulatory certainty, creating specialised organisations and creating the context to mobilise finance (medium confidence). These functions can be promoted by climate-relevant laws, which are growing in number, or climate strategies, among others, based on national and sub-national context (medium confidence). Effective and equitable climate governance builds on engagement with civil society actors, political actors, businesses, youth, labour, media, Indigenous Peoples and local communities (medium confidence). {WGIII SPM E.2.2, WGIII SPM E.3, WGIII SPM E.3.1, WGIII SPM E.4.2, WGIII SPM E.4.3, WGIII SPM E.4.4} ", WGIII SPM E.3.1,,
109,2.2.2.b,"2.2.2.bPractical experience has informed economic instrument design and helped to improve predictability, environmental effectiveness, economic efficiency, alignment with distributional goals, and social acceptance (high confidence). Low-emission technological innovation is strengthened through the combination of technology-push policies, together with policies that create incentives for behaviour change and market opportunities (high confidence) (Section 4.8.3). Comprehensive and consistent policy packages have been found to be more effective than single policies (high confidence). Combining mitigation with policies to shift development pathways, policies that induce lifestyle or behaviour changes, for example, measures promoting walkable urban areas combined with electrification and renewable energy can create health co-benefits from cleaner air and enhanced active mobility (high confidence). Climate governance enables mitigation by providing an overall direction, setting targets, mainstreaming climate action across policy domains and levels, based on national circumstances and in the context of international cooperation. Effective governance   enhances regulatory certainty, creating specialised organisations and creating the context to mobilise finance (medium confidence). These functions can be promoted by climate-relevant laws, which are growing in number, or climate strategies, among others, based on national and sub-national context (medium confidence). Effective and equitable climate governance builds on engagement with civil society actors, political actors, businesses, youth, labour, media, Indigenous Peoples and local communities (medium confidence). {WGIII SPM E.2.2, WGIII SPM E.3, WGIII SPM E.3.1, WGIII SPM E.4.2, WGIII SPM E.4.3, WGIII SPM E.4.4} ", WGIII SPM E.4.2,,
110,2.2.2.b,"2.2.2.bPractical experience has informed economic instrument design and helped to improve predictability, environmental effectiveness, economic efficiency, alignment with distributional goals, and social acceptance (high confidence). Low-emission technological innovation is strengthened through the combination of technology-push policies, together with policies that create incentives for behaviour change and market opportunities (high confidence) (Section 4.8.3). Comprehensive and consistent policy packages have been found to be more effective than single policies (high confidence). Combining mitigation with policies to shift development pathways, policies that induce lifestyle or behaviour changes, for example, measures promoting walkable urban areas combined with electrification and renewable energy can create health co-benefits from cleaner air and enhanced active mobility (high confidence). Climate governance enables mitigation by providing an overall direction, setting targets, mainstreaming climate action across policy domains and levels, based on national circumstances and in the context of international cooperation. Effective governance   enhances regulatory certainty, creating specialised organisations and creating the context to mobilise finance (medium confidence). These functions can be promoted by climate-relevant laws, which are growing in number, or climate strategies, among others, based on national and sub-national context (medium confidence). Effective and equitable climate governance builds on engagement with civil society actors, political actors, businesses, youth, labour, media, Indigenous Peoples and local communities (medium confidence). {WGIII SPM E.2.2, WGIII SPM E.3, WGIII SPM E.3.1, WGIII SPM E.4.2, WGIII SPM E.4.3, WGIII SPM E.4.4} ", WGIII SPM E.4.3,,
111,2.2.2.b,"2.2.2.bPractical experience has informed economic instrument design and helped to improve predictability, environmental effectiveness, economic efficiency, alignment with distributional goals, and social acceptance (high confidence). Low-emission technological innovation is strengthened through the combination of technology-push policies, together with policies that create incentives for behaviour change and market opportunities (high confidence) (Section 4.8.3). Comprehensive and consistent policy packages have been found to be more effective than single policies (high confidence). Combining mitigation with policies to shift development pathways, policies that induce lifestyle or behaviour changes, for example, measures promoting walkable urban areas combined with electrification and renewable energy can create health co-benefits from cleaner air and enhanced active mobility (high confidence). Climate governance enables mitigation by providing an overall direction, setting targets, mainstreaming climate action across policy domains and levels, based on national circumstances and in the context of international cooperation. Effective governance   enhances regulatory certainty, creating specialised organisations and creating the context to mobilise finance (medium confidence). These functions can be promoted by climate-relevant laws, which are growing in number, or climate strategies, among others, based on national and sub-national context (medium confidence). Effective and equitable climate governance builds on engagement with civil society actors, political actors, businesses, youth, labour, media, Indigenous Peoples and local communities (medium confidence). {WGIII SPM E.2.2, WGIII SPM E.3, WGIII SPM E.3.1, WGIII SPM E.4.2, WGIII SPM E.4.3, WGIII SPM E.4.4} ", WGIII SPM E.4.4,,
112,2.2.2.c,"2.2.2.cThe unit costs of several low-emission technologies, including solar, wind and lithium-ion batteries, have fallen consistently since 2010 (Figure 2.4). Design and process innovations in combination with the use of digital technologies have led to near-commercial availability of many low or zero emissions options in buildings, transport and industry. From 2010 to 2019, there have been sustained decreases in the unit costs of solar energy (by 85%), wind energy (by 55%), and lithium-ion batteries (by 85%), and large increases in their deployment, e.g., >10× for solar and >100× for electric vehicles (EVs), albeit varying widely across regions (Figure 2.4). Electricity from PV and wind is now cheaper than electricity from fossil sources in many regions, electric vehicles are increasingly competitive with internal combustion engines, and large-scale battery storage on electricity grids is increasingly viable. In comparison to modular small-unit size technologies, the empirical record shows that multiple large-scale mitigation technologies, with fewer opportunities for learning, have seen minimal cost reductions and their adoption has grown slowly. Maintaining emission-intensive systems may, in some regions and sectors, be more expensive than transitioning to low emission systems. (high confidence) {WGIII SPM B.4, WGIII SPM B.4.1, WGIII SPM C.4.2, WGIII SPM C.5.2, WGIII SPM C.7.2, WGIII SPM C.8, WGIII Figure SPM.3, WGIII Figure SPM.3} ",WGIII SPM B.4,,
113,2.2.2.c,"2.2.2.cThe unit costs of several low-emission technologies, including solar, wind and lithium-ion batteries, have fallen consistently since 2010 (Figure 2.4). Design and process innovations in combination with the use of digital technologies have led to near-commercial availability of many low or zero emissions options in buildings, transport and industry. From 2010 to 2019, there have been sustained decreases in the unit costs of solar energy (by 85%), wind energy (by 55%), and lithium-ion batteries (by 85%), and large increases in their deployment, e.g., >10× for solar and >100× for electric vehicles (EVs), albeit varying widely across regions (Figure 2.4). Electricity from PV and wind is now cheaper than electricity from fossil sources in many regions, electric vehicles are increasingly competitive with internal combustion engines, and large-scale battery storage on electricity grids is increasingly viable. In comparison to modular small-unit size technologies, the empirical record shows that multiple large-scale mitigation technologies, with fewer opportunities for learning, have seen minimal cost reductions and their adoption has grown slowly. Maintaining emission-intensive systems may, in some regions and sectors, be more expensive than transitioning to low emission systems. (high confidence) {WGIII SPM B.4, WGIII SPM B.4.1, WGIII SPM C.4.2, WGIII SPM C.5.2, WGIII SPM C.7.2, WGIII SPM C.8, WGIII Figure SPM.3, WGIII Figure SPM.3} ", WGIII SPM B.4.1,,
114,2.2.2.c,"2.2.2.cThe unit costs of several low-emission technologies, including solar, wind and lithium-ion batteries, have fallen consistently since 2010 (Figure 2.4). Design and process innovations in combination with the use of digital technologies have led to near-commercial availability of many low or zero emissions options in buildings, transport and industry. From 2010 to 2019, there have been sustained decreases in the unit costs of solar energy (by 85%), wind energy (by 55%), and lithium-ion batteries (by 85%), and large increases in their deployment, e.g., >10× for solar and >100× for electric vehicles (EVs), albeit varying widely across regions (Figure 2.4). Electricity from PV and wind is now cheaper than electricity from fossil sources in many regions, electric vehicles are increasingly competitive with internal combustion engines, and large-scale battery storage on electricity grids is increasingly viable. In comparison to modular small-unit size technologies, the empirical record shows that multiple large-scale mitigation technologies, with fewer opportunities for learning, have seen minimal cost reductions and their adoption has grown slowly. Maintaining emission-intensive systems may, in some regions and sectors, be more expensive than transitioning to low emission systems. (high confidence) {WGIII SPM B.4, WGIII SPM B.4.1, WGIII SPM C.4.2, WGIII SPM C.5.2, WGIII SPM C.7.2, WGIII SPM C.8, WGIII Figure SPM.3, WGIII Figure SPM.3} ", WGIII SPM C.4.2,,
115,2.2.2.c,"2.2.2.cThe unit costs of several low-emission technologies, including solar, wind and lithium-ion batteries, have fallen consistently since 2010 (Figure 2.4). Design and process innovations in combination with the use of digital technologies have led to near-commercial availability of many low or zero emissions options in buildings, transport and industry. From 2010 to 2019, there have been sustained decreases in the unit costs of solar energy (by 85%), wind energy (by 55%), and lithium-ion batteries (by 85%), and large increases in their deployment, e.g., >10× for solar and >100× for electric vehicles (EVs), albeit varying widely across regions (Figure 2.4). Electricity from PV and wind is now cheaper than electricity from fossil sources in many regions, electric vehicles are increasingly competitive with internal combustion engines, and large-scale battery storage on electricity grids is increasingly viable. In comparison to modular small-unit size technologies, the empirical record shows that multiple large-scale mitigation technologies, with fewer opportunities for learning, have seen minimal cost reductions and their adoption has grown slowly. Maintaining emission-intensive systems may, in some regions and sectors, be more expensive than transitioning to low emission systems. (high confidence) {WGIII SPM B.4, WGIII SPM B.4.1, WGIII SPM C.4.2, WGIII SPM C.5.2, WGIII SPM C.7.2, WGIII SPM C.8, WGIII Figure SPM.3, WGIII Figure SPM.3} ", WGIII SPM C.5.2,,
116,2.2.2.c,"2.2.2.cThe unit costs of several low-emission technologies, including solar, wind and lithium-ion batteries, have fallen consistently since 2010 (Figure 2.4). Design and process innovations in combination with the use of digital technologies have led to near-commercial availability of many low or zero emissions options in buildings, transport and industry. From 2010 to 2019, there have been sustained decreases in the unit costs of solar energy (by 85%), wind energy (by 55%), and lithium-ion batteries (by 85%), and large increases in their deployment, e.g., >10× for solar and >100× for electric vehicles (EVs), albeit varying widely across regions (Figure 2.4). Electricity from PV and wind is now cheaper than electricity from fossil sources in many regions, electric vehicles are increasingly competitive with internal combustion engines, and large-scale battery storage on electricity grids is increasingly viable. In comparison to modular small-unit size technologies, the empirical record shows that multiple large-scale mitigation technologies, with fewer opportunities for learning, have seen minimal cost reductions and their adoption has grown slowly. Maintaining emission-intensive systems may, in some regions and sectors, be more expensive than transitioning to low emission systems. (high confidence) {WGIII SPM B.4, WGIII SPM B.4.1, WGIII SPM C.4.2, WGIII SPM C.5.2, WGIII SPM C.7.2, WGIII SPM C.8, WGIII Figure SPM.3, WGIII Figure SPM.3} ", WGIII SPM C.7.2,,
117,2.2.2.c,"2.2.2.cThe unit costs of several low-emission technologies, including solar, wind and lithium-ion batteries, have fallen consistently since 2010 (Figure 2.4). Design and process innovations in combination with the use of digital technologies have led to near-commercial availability of many low or zero emissions options in buildings, transport and industry. From 2010 to 2019, there have been sustained decreases in the unit costs of solar energy (by 85%), wind energy (by 55%), and lithium-ion batteries (by 85%), and large increases in their deployment, e.g., >10× for solar and >100× for electric vehicles (EVs), albeit varying widely across regions (Figure 2.4). Electricity from PV and wind is now cheaper than electricity from fossil sources in many regions, electric vehicles are increasingly competitive with internal combustion engines, and large-scale battery storage on electricity grids is increasingly viable. In comparison to modular small-unit size technologies, the empirical record shows that multiple large-scale mitigation technologies, with fewer opportunities for learning, have seen minimal cost reductions and their adoption has grown slowly. Maintaining emission-intensive systems may, in some regions and sectors, be more expensive than transitioning to low emission systems. (high confidence) {WGIII SPM B.4, WGIII SPM B.4.1, WGIII SPM C.4.2, WGIII SPM C.5.2, WGIII SPM C.7.2, WGIII SPM C.8, WGIII Figure SPM.3, WGIII Figure SPM.3} ", WGIII SPM C.8,,
118,2.2.2.c,"2.2.2.cThe unit costs of several low-emission technologies, including solar, wind and lithium-ion batteries, have fallen consistently since 2010 (Figure 2.4). Design and process innovations in combination with the use of digital technologies have led to near-commercial availability of many low or zero emissions options in buildings, transport and industry. From 2010 to 2019, there have been sustained decreases in the unit costs of solar energy (by 85%), wind energy (by 55%), and lithium-ion batteries (by 85%), and large increases in their deployment, e.g., >10× for solar and >100× for electric vehicles (EVs), albeit varying widely across regions (Figure 2.4). Electricity from PV and wind is now cheaper than electricity from fossil sources in many regions, electric vehicles are increasingly competitive with internal combustion engines, and large-scale battery storage on electricity grids is increasingly viable. In comparison to modular small-unit size technologies, the empirical record shows that multiple large-scale mitigation technologies, with fewer opportunities for learning, have seen minimal cost reductions and their adoption has grown slowly. Maintaining emission-intensive systems may, in some regions and sectors, be more expensive than transitioning to low emission systems. (high confidence) {WGIII SPM B.4, WGIII SPM B.4.1, WGIII SPM C.4.2, WGIII SPM C.5.2, WGIII SPM C.7.2, WGIII SPM C.8, WGIII Figure SPM.3, WGIII Figure SPM.3} ", WGIII Figure SPM.3,,
